nome,sku,quantidade,total,porcentagem_das_vendas
"Amendoim Torrado com Pele e com Sal 300 g",HJWI5RI6PP,1,20.16,0.02
"Azeitona Grega Kalamata 500 g",FGF23P7SDK,1,96,0.08
"Tamara - 1 Caixa (1 Kilo)",8TYL4N1DAF,1,69.9,0.06
"Parmesão desidratado aperitivo   300g",EE2173CGD0,1,76.5,0.06
"Coco Verde 2 un Maduro",OP0U9EHBEQ,1,29.98,0.02
"Couve manteiga 2 un",J7MPQIM5PB,1,20,0.02
"Maracujá azedo graúdo 3 un Maduro",CDM9H74SFL,1,25.99,0.02
"Pêssego Fresco Premium 500g Verde",KF229D7KHQ,1,44.95,0.04
"Abóbora cristalizada 300 g",FW2Y0X95BT,1,28.8,0.02
"Tiras grossas de bacalhau do porto sem pele e sem espinha   500g",Q2X51M4PL5,1,97.5,0.08
"Pimenta biquinho   300g",BPUV43SPA1,1,22.5,0.02
"Macadâmia caramelizada   300g",6JP5KF4YF0,1,49.5,0.04
"Chuchu 1 Kg",REFXOFYTT3,1,13.98,0.01
"Goiaba graúda 1 un Maduro",ON9QPPO4LQ,1,12.99,0.01
"Roma Importada 1kg Maduro",4EV2VELR02,1,89.9,0.07
"Amendoim Torrado sem Pele e sem Sal 500 g",J7LWK6S50O,1,33.6,0.03
"Abacaxi cristalizado 300 g",7OHYQJCKL4,1,28.8,0.02
"Abóbora cristalizada 500 g",HSSK4SULLZ,1,48,0.04
"Castanha de Caju W1 Torrada sem Sal 300 g",1814DUPDXW,1,47.04,0.04
"Laranja pera 24 un Maduro",7J04F9DUYQ,1,55.96,0.04
"Toranja (grapefruit) 500g Normal",OJ13IX93J2,1,34.95,0.03
"Acelga 2 un",4UB503TJOC,1,25.98,0.02
"Cacau - 1UN",3EN660MM2S,1,39.99,0.03
"Lombo de bacalhau calibre 4/7 sem pele e sem espinhaço   500g",OXUH7YLTOA,1,187.5,0.15
"Sapoti 1kg Maduro",FGE9YGR561,1,69.9,0.06
"Mamão papaya 4 un Verde",9WHCSZFDDJ,1,48.9,0.04
"Limão siciliano 1Kg Normal",K1BKYZ7BFX,1,31.98,0.03
"Farinha de Amêndoa 300 g",CEYND34N4N,1,52.8,0.04
"Amendoim ovinho   300g",JPQNTM0VG9,1,13.5,0.01
"Uva Passa Em Rama 500 g",488Q88KKXL,1,64,0.05
"Castanha do Pará média   300g",TOMXXBCZPW,1,42.75,0.03
"Banana nanica - 6UN",3SQMPSS9RG,1,15.99,0.01
"Queijo Parmesão Desidratado 300 g",LPGM33M074,1,81.6,0.07
"Cacau Normal 1 Un",KZVR42EAJ6,1,39.99,0.03
"Pimentão Amarelo  - 500 gramas",L1DA6NB7KT,1,17.99,0.01
"Maçã fuji 16 un Normal",DCWLTNDUFU,1,112,0.09
"Goiaba graúda 1 un Verde",IYCDB2UHFJ,1,12.99,0.01
"Nozes pecan natural   300g",RJE9P2CDFM,1,58.5,0.05
"Alho roxo 500 g",10HAESZAIL,1,33.75,0.03
"Cereja 300g Normal",TA0V27NWTW,1,45,0.04
"Banana Prata 24UN Verde",FKVIG614XY,1,63.96,0.05
"Mamão papaya 8 un Maduro",E2COU7CY3A,1,119.99,0.1
"Doce de leite   300g",JOI9BTNW12,1,27,0.02
"Mini Tangerina 300g Normal",RFEX2TOSH8,1,23.99,0.02
"Nozes Quartz Chilena 500 g",2OP0H5H9JU,1,62.4,0.05
"Mamão Formosa 2 un Normal",91MXCICGFC,1,49.98,0.04
"Nozes Quartz Chilena 300 g",9S2H9I6W8K,1,37.44,0.03
"Castanha de caju SL W1 torrada sem sal   300g",P2BJLGOKY6,1,49.5,0.04
"Manga Palmer 300g Maduro",G7IKT53CXH,1,15.59,0.01
"Pitaia amarelo Colômbia 500g Maduro",5Z5SQEDDYI,1,74.99,0.06
"Maçã verde 3 un Verde",N6V32MBJMW,1,21.99,0.02
"Atemoia 300g Verde",D1JZMJSOU3,1,21,0.02
"Castanha de caju W4 torrada sem sal   300g",J2LKMM1B20,1,31.5,0.03
"Uva passa preta sem semente 300 g",HNF3AHN0Q9,1,16.32,0.01
"Castanha de caju W1 torrada sem sal   300g",O9ZNF80VDC,1,40.5,0.03
"Jabuticaba 1Kg Maduro",S0NN9Q5Y65,1,99.9,0.08
"Maçã fuji 4 un Maduro",J68AOSN47D,1,28,0.02
"Alcaparra em conserva   300g",6TM4967L4V,1,40.5,0.03
"Mamão Formosa 1 un Maduro",CW1GJP5QKF,1,24.99,0.02
"Limão taiti 24 un Normal",EB3P9L4HRL,1,39.9,0.03
"Maçã Red graúda 6 un Verde",469TGSJ5LQ,1,51.98,0.04
"Castanha de Caju W4 Torrada Salgada 1 Kg",8XQV81U4DG,1,136,0.11
"Repolho - 1 Unidade",5IF1G84NQH,1,14.99,0.01
"Pimentão Vermelho 300 g",MP2MMFAWLQ,1,10.79,0.01
"Goiaba graúda 2 un Verde",CINYGJEU31,1,25.98,0.02
"Amendoim torrado salgado com pele e alho   300g",MYCEP6U1Z7,1,22.5,0.02
"Morango Hidroponico 1Kg Verde",CKQ7ZNAEXT,1,99.98,0.08
"Pera 6 un Maduro",SETU3TITX8,1,41.9,0.03
"Atemoia 300g Maduro",FXCWG3PIF0,1,21,0.02
"Alho roxo 1 Kg",OB8ALGG78U,1,67.5,0.05
"Mix de frutas desidratadas 1 Kg",LOXK4W7EET,1,136,0.11
"Pistache cru   300g",MC48Z1SXM4,1,87.75,0.07
"Alcaparra em conserva 500 g",7K7TE8VMQA,1,72,0.06
"Rambutão 500g Maduro",TB9DSC43T7,1,35,0.03
"Amêndoa Torrada Salgada sem Pele 300 g",4HVTJTIKJA,1,50.4,0.04
"Vagem 1 Kg",DG38JIKV3F,1,29.98,0.02
"Kiwi Amarelo 300g Maduro",1BBQ19YRA1,1,39.99,0.03
"Pitaia amarelo Colômbia 500g Normal",NIQIHJRCUI,1,74.99,0.06
"Alface crespa 4 un",89HSG0IPIT,1,31.96,0.03
"Rambutam - 500g",CXLSQYSJ90,1,49.99,0.04
"Semente de Abóbora Torrada com Sal sem Casca 300 g",ATD3Z5LT7B,1,43.2,0.03
"Cereja Fresca 300g Maduro",NIWIHPG577,1,75,0.06
"Roma Importada 300g Maduro",GR15BVNW8O,1,26.97,0.02
"Cacau Normal 2 Un",KSV1WMZUWQ,1,79.98,0.06
"Abacate - 1 UN",KJ58KZYIOO,1,22.99,0.02
"Banana nanica 12 un Maduro",FN9LXST0G9,1,31.9,0.03
"Pêssego Fresco Premium 500g Maduro",JQZVYFHWK3,1,44.95,0.04
"Laranja chamanhe 300g Normal",J7N48D6VON,1,20.97,0.02
"Maracujá silvestre 1kg Normal",FS8ZLDU25X,1,129,0.1
"Rambutão 300g Normal",QG2Y8UE2C6,1,21,0.02
"Jabuticaba 1Kg Normal",KRMA8G9CBP,1,99.9,0.08
"Casca de laranja cristalizada 500 g",3ICKBL2W2Q,1,48,0.04
"Alface crespa 2 un",M96KX4D9K6,1,15.98,0.01
"Pitaia vermelha 300g Normal",69DIRYEO6S,1,42,0.03
"Brócolis ninja 4 un",4SESWOM9KQ,1,87.96,0.07
"Macadâmia Torrada sem Sal 500 g",FLZLDB7BN5,1,150.4,0.12
"Laranja pera 6 un Maduro",LRAXU20M4U,1,13.99,0.01
"Ervilha com wasabi   300g",1Q20LVQSEQ,1,29.25,0.02
"Maçã verde 6 un Maduro",6KXDWCN88H,1,43.98,0.04
"Uva Pilar Moscato Premium 1 Kg Normal",J05Q8DDLPV,1,189.9,0.15
"Castanha de Caju SLW1 Torrada com Sal 1 Kg",563C5JP995,1,192,0.15
"Batata asterix 500 g",FIVPD1XFD4,1,12.99,0.01
"Figo cristalizado 1 Kg",DFO2IZ4ZNW,1,96,0.08
"Semente de Abóbora Torrada sem Sal sem Casca 300 g",QJTHV7MQ48,1,43.2,0.03
"Cereja 500g Maduro",9SW8QJOJU7,1,75,0.06
"Banana Prata 12UN Maduro",6SXXTF62SK,1,31.98,0.03
"Pêra Asiática 1kg Normal",P5FCNHM0YJ,1,89.9,0.07
